sheet,row,column,header,raw_value,display_value
角色-女,4103,U,协奏回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D33980>,1.12
角色-女,4103,Z,中断优先级,2,2
角色-女,4103,AA,位置状态,地面,地面
角色-女,4103,AC,时间膨胀类型,攻击顿帧,攻击顿帧
角色-女,4103,AD,自膨胀系数,0.2,0.2
角色-女,4103,AF,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.1*base!$B$2)+ROUND(0.1*base!$B$2-INT(0.1*base!$B$2),0)+(1-0.1>=1-0.5/base!$B$2),0)",6
角色-女,4103,AG,敌膨胀系数,0.03,0.03
角色-女,4103,AI,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.1*base!$B$2)+ROUND(0.1*base!$B$2-INT(0.1*base!$B$2),0)+(1-0.1>=1-0.5/base!$B$2),0)",6
角色-女,4103,AM,命中类型,目标,目标
角色-女,4103,AN,位置基准,莫宁,莫宁
角色-女,4103,AO,跟随骨骼,根,根
角色-女,4103,AR,位置基准偏移,"(50,0,200)","(50,0,200)"
角色-女,4103,AS,中心位置偏移,"(0,0,-50)","(0,0,-50)"
角色-女,4103,AT,判定范围,"矩形(240,260,140)","矩形(240,260,140)"
角色-女,4104,C,动作,A1-3,A1-3
角色-女,4104,E,发生帧,"=INT(0.33767533*base!$B$2)+ROUND(0.33767533*base!$B$2-INT(0.33767533*base!$B$2),0)+(1-0.33767533>=1-0.5/base!$B$2)",20
角色-女,4104,F,持续帧,"=INT(0.3*base!$B$2)+ROUND(0.3*base!$B$2-INT(0.3*base!$B$2),0)+(1-0.3>=1-0.5/base!$B$2)",18
角色-女,4104,L,派生帧,"=INT(0.35*base!$B$2)+ROUND(0.35*base!$B$2-INT(0.35*base!$B$2),0)+(1-0.35>=1-0.5/base!$B$2)",21
角色-女,4104,M,派生持续帧,"=INT(1.152206*base!$B$2)+ROUND(1.152206*base!$B$2-INT(1.152206*base!$B$2),0)+(1-1.152206>=1-0.5/base!$B$2)",69
角色-女,4104,N,动作结束帧,"=INT(1.0194405*base!$B$2)+ROUND(1.0194405*base!$B$2-INT(1.0194405*base!$B$2),0)+(1-1.0194405>=1-0.5/base!$B$2)",61
角色-女,4104,O,可弹刀,×,×
角色-女,4104,P,可脱手,√,√
角色-女,4104,R,削韧值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D479B0>,12.6
角色-女,4104,S,偏谐值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D47980>,8.4
角色-女,4104,T,大招回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D47950>,0.27
角色-女,4104,U,协奏回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D47920>,0.84
角色-女,4104,Z,中断优先级,2,2
角色-女,4104,AA,位置状态,地面,地面
角色-女,4104,AM,命中类型,目标,目标
角色-女,4104,AN,位置基准,莫宁,莫宁
角色-女,4104,AR,位置基准偏移,"(-60,55,100)","(-60,55,100)"
角色-女,4104,AS,中心位置偏移,"(1600,0,0)","(1600,0,0)"
角色-女,4104,AT,判定范围,"矩形(1600,40,40)","矩形(1600,40,40)"
角色-女,4105,B,ID,2,2
角色-女,4105,C,动作,A2-1,A2-1
角色-女,4105,D,备注,"=""第""&ROUND(0*base!$B$2,0)+1&""F获得""&$V4105&""点核心""",第1F获得43点核心
角色-女,4105,E,发生帧,"=INT(0.188711*base!$B$2)+ROUND(0.188711*base!$B$2-INT(0.188711*base!$B$2),0)+(1-0.188711>=1-0.5/base!$B$2)",11
角色-女,4105,F,持续帧,"=INT(0.3*base!$B$2)+ROUND(0.3*base!$B$2-INT(0.3*base!$B$2),0)+(1-0.3>=1-0.5/base!$B$2)",18
角色-女,4105,H,顿帧-敌,"=MAX(CEILING($AI4105*(1-$AG4105),1)-INT(base!$B$3<>TRUE),0)",4
角色-女,4105,O,可弹刀,√,√
角色-女,4105,P,可脱手,√,√
角色-女,4105,R,削韧值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D472F0>,18
角色-女,4105,S,偏谐值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D472C0>,12
角色-女,4105,T,大招回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D47290>,0.38
角色-女,4105,U,协奏回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D47260>,1.2
角色-女,4105,V,核心回收1,=0+4300*0.01,43
角色-女,4105,Y,受击韧性系数,0.5625,0.5625
角色-女,4105,Z,中断优先级,2,2
角色-女,4105,AA,位置状态,地面,地面
角色-女,4105,AC,时间膨胀类型,攻击顿帧,攻击顿帧
角色-女,4105,AG,敌膨胀系数,0.2,0.2
角色-女,4105,AI,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.1*base!$B$2)+ROUND(0.1*base!$B$2-INT(0.1*base!$B$2),0)+(1-0.1>=1-0.5/base!$B$2),0)",6
角色-女,4105,AM,命中类型,目标,目标
角色-女,4105,AN,位置基准,莫宁,莫宁
角色-女,4105,AR,位置基准偏移,"(-80,0,150)","(-80,0,150)"
角色-女,4105,AT,判定范围,"矩形(300,120,160)","矩形(300,120,160)"
角色-女,4106,C,动作,A2-2,A2-2
角色-女,4106,E,发生帧,"=INT(0.42584395*base!$B$2)+ROUND(0.42584395*base!$B$2-INT(0.42584395*base!$B$2),0)+(1-0.42584395>=1-0.5/base!$B$2)",26
角色-女,4106,F,持续帧,"=INT(0.1*base!$B$2)+ROUND(0.1*base!$B$2-INT(0.1*base!$B$2),0)+(1-0.1>=1-0.5/base!$B$2)",6
角色-女,4106,G,顿帧-自,"=MAX(CEILING($AF4106*(1-$AD4106),1)-INT(base!$B$3<>TRUE),0)",4
角色-女,4106,H,顿帧-敌,"=MAX(CEILING($AI4106*(1-$AG4106),1)-INT(base!$B$3<>TRUE),0)",4
角色-女,4106,O,可弹刀,√,√
角色-女,4106,P,可脱手,√,√
角色-女,4106,Q,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292EF164C80>,√,√
角色-女,4106,R,削韧值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D854C0>,18
角色-女,4106,S,偏谐值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D854F0>,12
角色-女,4106,T,大招回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D85520>,0.38
角色-女,4106,U,协奏回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D85550>,1.2
角色-女,4106,Z,中断优先级,2,2
角色-女,4106,AA,位置状态,地面,地面
角色-女,4106,AC,时间膨胀类型,攻击顿帧,攻击顿帧
角色-女,4106,AD,自膨胀系数,0.2,0.2
角色-女,4106,AF,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.1*base!$B$2)+ROUND(0.1*base!$B$2-INT(0.1*base!$B$2),0)+(1-0.1>=1-0.5/base!$B$2),0)",6
角色-女,4106,AG,敌膨胀系数,0.2,0.2
角色-女,4106,AI,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.1*base!$B$2)+ROUND(0.1*base!$B$2-INT(0.1*base!$B$2),0)+(1-0.1>=1-0.5/base!$B$2),0)",6
角色-女,4106,AM,命中类型,目标,目标
角色-女,4106,AN,位置基准,莫宁,莫宁
角色-女,4106,AR,位置基准偏移,"(250,0,150)","(250,0,150)"
角色-女,4106,AS,中心位置偏移,"(0,0,-50)","(0,0,-50)"
角色-女,4106,AT,判定范围,"矩形(250,150,100)","矩形(250,150,100)"
角色-女,4107,C,动作,A2-3,A2-3
角色-女,4107,D,备注,"=""持续帧内每""&ROUNDUP(0.15*base!$B$2,0)&""F进行一次判定，最多4次""",持续帧内每9F进行一次判定，最多4次
角色-女,4107,E,发生帧,"=INT(0.4986539*base!$B$2)+ROUND(0.4986539*base!$B$2-INT(0.4986539*base!$B$2),0)+(1-0.4986539>=1-0.5/base!$B$2)",30
角色-女,4107,F,持续帧,"=INT(0.65*base!$B$2)+ROUND(0.65*base!$B$2-INT(0.65*base!$B$2),0)+(1-0.65>=1-0.5/base!$B$2)",39
角色-女,4107,H,顿帧-敌,"=MAX(CEILING($AI4107*(1-$AG4107),1)-INT(base!$B$3<>TRUE),0)",1
角色-女,4107,L,派生帧,"=INT(0.75*base!$B$2)+ROUND(0.75*base!$B$2-INT(0.75*base!$B$2),0)+(1-0.75>=1-0.5/base!$B$2)",45
角色-女,4107,M,派生持续帧,"=INT(2.92698*base!$B$2)+ROUND(2.92698*base!$B$2-INT(2.92698*base!$B$2),0)+(1-2.92698>=1-0.5/base!$B$2)",176
角色-女,4107,N,动作结束帧,"=INT(1.1333333*base!$B$2)+ROUND(1.1333333*base!$B$2-INT(1.1333333*base!$B$2),0)+(1-1.1333333>=1-0.5/base!$B$2)",68
角色-女,4107,O,可弹刀,√,√
角色-女,4107,P,可脱手,√,√
角色-女,4107,R,削韧值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D46660>,13.5
角色-女,4107,S,偏谐值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D46690>,9
角色-女,4107,T,大招回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D466C0>,0.29
角色-女,4107,U,协奏回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D466F0>,0.9
角色-女,4107,Z,中断优先级,2,2
角色-女,4107,AA,位置状态,地面,地面
角色-女,4107,AC,时间膨胀类型,攻击顿帧,攻击顿帧
角色-女,4107,AG,敌膨胀系数,0.03,0.03
角色-女,4107,AI,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.03*base!$B$2)+ROUND(0.03*base!$B$2-INT(0.03*base!$B$2),0)+(1-0.03>=1-0.5/base!$B$2),0)",2
角色-女,4107,AM,命中类型,目标,目标
角色-女,4107,AN,位置基准,莫宁,莫宁
角色-女,4107,AR,位置基准偏移,"(500,0,150)","(500,0,150)"
角色-女,4107,AT,判定范围,"矩形(180,180,180)","矩形(180,180,180)"
角色-女,4108,B,ID,3,3
角色-女,4108,C,动作,A3-1,A3-1
角色-女,4108,D,备注,"=""第""&ROUND(0*base!$B$2,0)+1&""F获得""&$V4108&""点核心""",第1F获得37点核心
角色-女,4108,E,发生帧,"=INT(0.40780976*base!$B$2)+ROUND(0.40780976*base!$B$2-INT(0.40780976*base!$B$2),0)+(1-0.40780976>=1-0.5/base!$B$2)",24
角色-女,4108,F,持续帧,"=INT(0.3*base!$B$2)+ROUND(0.3*base!$B$2-INT(0.3*base!$B$2),0)+(1-0.3>=1-0.5/base!$B$2)",18
角色-女,4108,G,顿帧-自,"=MAX(CEILING($AF4108*(1-$AD4108),1)-INT(base!$B$3<>TRUE),0)",9
角色-女,4108,H,顿帧-敌,"=MAX(CEILING($AI4108*(1-$AG4108),1)-INT(base!$B$3<>TRUE),0)",9
角色-女,4108,O,可弹刀,√,√
角色-女,4108,P,可脱手,√,√
角色-女,4108,Q,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292EF164C80>,√,√
角色-女,4108,R,削韧值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D451C0>,31.2
角色-女,4108,S,偏谐值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D44800>,20.8
角色-女,4108,T,大招回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D447D0>,0.65
角色-女,4108,U,协奏回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D447A0>,2.08
角色-女,4108,V,核心回收1,=0+3700*0.01,37
角色-女,4108,Y,受击韧性系数,0.5625,0.5625
角色-女,4108,Z,中断优先级,2,2
角色-女,4108,AA,位置状态,地面,地面
角色-女,4108,AC,时间膨胀类型,攻击顿帧,攻击顿帧
角色-女,4108,AD,自膨胀系数,0.01,0.01
角色-女,4108,AF,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.17*base!$B$2)+ROUND(0.17*base!$B$2-INT(0.17*base!$B$2),0)+(1-0.17>=1-0.5/base!$B$2),0)",10
角色-女,4108,AG,敌膨胀系数,0.01,0.01
角色-女,4108,AI,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.17*base!$B$2)+ROUND(0.17*base!$B$2-INT(0.17*base!$B$2),0)+(1-0.17>=1-0.5/base!$B$2),0)",10
角色-女,4108,AM,命中类型,目标,目标
角色-女,4108,AN,位置基准,莫宁,莫宁
角色-女,4108,AR,位置基准偏移,"(100,0,100)","(100,0,100)"
角色-女,4108,AT,判定范围,"矩形(400,500,160)","矩形(400,500,160)"
角色-女,4109,C,动作,A3-2,A3-2
角色-女,4109,D,备注,"=""持续帧内每""&ROUNDUP(0.15*base!$B$2,0)&""F进行一次判定，最多6次""",持续帧内每9F进行一次判定，最多6次
角色-女,4109,E,发生帧,"=INT(0.51232517*base!$B$2)+ROUND(0.51232517*base!$B$2-INT(0.51232517*base!$B$2),0)+(1-0.51232517>=1-0.5/base!$B$2)",31
角色-女,4109,F,持续帧,"=INT(1*base!$B$2)+ROUND(1*base!$B$2-INT(1*base!$B$2),0)+(1-1>=1-0.5/base!$B$2)",60
角色-女,4109,G,顿帧-自,"=MAX(CEILING($AF4109*(1-$AD4109),1)-INT(base!$B$3<>TRUE),0)",2
角色-女,4109,H,顿帧-敌,"=MAX(CEILING($AI4109*(1-$AG4109),1)-INT(base!$B$3<>TRUE),0)",5
角色-女,4109,L,派生帧,"=INT(0.65*base!$B$2)+ROUND(0.65*base!$B$2-INT(0.65*base!$B$2),0)+(1-0.65>=1-0.5/base!$B$2)",39
角色-女,4109,M,派生持续帧,"=INT(3.3372633*base!$B$2)+ROUND(3.3372633*base!$B$2-INT(3.3372633*base!$B$2),0)+(1-3.3372633>=1-0.5/base!$B$2)",200
角色-女,4109,N,动作结束帧,"=INT(1.5120196*base!$B$2)+ROUND(1.5120196*base!$B$2-INT(1.5120196*base!$B$2),0)+(1-1.5120196>=1-0.5/base!$B$2)",91
角色-女,4109,O,可弹刀,√,√
角色-女,4109,P,可脱手,√,√
角色-女,4109,Q,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292EF164C80>,√,√
角色-女,4109,R,削韧值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D45340>,7.8
角色-女,4109,S,偏谐值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D45310>,5.2
角色-女,4109,T,大招回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D452E0>,0.17
角色-女,4109,U,协奏回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D452B0>,0.52
角色-女,4109,Z,中断优先级,2,2
角色-女,4109,AA,位置状态,地面,地面
角色-女,4109,AC,时间膨胀类型,攻击顿帧,攻击顿帧
角色-女,4109,AD,自膨胀系数,0.01,0.01
角色-女,4109,AF,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.05*base!$B$2)+ROUND(0.05*base!$B$2-INT(0.05*base!$B$2),0)+(1-0.05>=1-0.5/base!$B$2),0)",3
角色-女,4109,AG,敌膨胀系数,0.01,0.01
角色-女,4109,AI,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.1*base!$B$2)+ROUND(0.1*base!$B$2-INT(0.1*base!$B$2),0)+(1-0.1>=1-0.5/base!$B$2),0)",6
角色-女,4109,AM,命中类型,目标,目标
角色-女,4109,AN,位置基准,莫宁,莫宁
角色-女,4109,AR,位置基准偏移,"(100,0,100)","(100,0,100)"
角色-女,4109,AT,判定范围,"矩形(400,500,160)","矩形(400,500,160)"
角色-女,4110,A,名称,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D44260>,技能类型
角色-女,4110,B,ID,4,4
角色-女,4110,C,动作,A4,A4
角色-女,4110,D,备注,"=""第""&ROUND(0*base!$B$2,0)+1&""F获得""&$V4110&""点核心""",第1F获得100点核心
角色-女,4110,E,发生帧,"=INT(0.85*base!$B$2)+ROUND(0.85*base!$B$2-INT(0.85*base!$B$2),0)+(1-0.85>=1-0.5/base!$B$2)",51
角色-女,4110,F,持续帧,"=INT(0.55*base!$B$2)+ROUND(0.55*base!$B$2-INT(0.55*base!$B$2),0)+(1-0.55>=1-0.5/base!$B$2)",33
角色-女,4110,G,顿帧-自,"=MAX(CEILING($AF4110*(1-$AD4110),1)-INT(base!$B$3<>TRUE),0)",5
角色-女,4110,H,顿帧-敌,"=MAX(CEILING($AI4110*(1-$AG4110),1)-INT(base!$B$3<>TRUE),0)",5
角色-女,4110,L,派生帧,"=INT(1.85*base!$B$2)+ROUND(1.85*base!$B$2-INT(1.85*base!$B$2),0)+(1-1.85>=1-0.5/base!$B$2)",111
角色-女,4110,M,派生持续帧,"=INT(1.6432595*base!$B$2)+ROUND(1.6432595*base!$B$2-INT(1.6432595*base!$B$2),0)+(1-1.6432595>=1-0.5/base!$B$2)",99
角色-女,4110,N,动作结束帧,"=INT(2.8333333*base!$B$2)+ROUND(2.8333333*base!$B$2-INT(2.8333333*base!$B$2),0)+(1-2.8333333>=1-0.5/base!$B$2)",170
角色-女,4110,O,可弹刀,√,√
角色-女,4110,P,可脱手,√,√
角色-女,4110,R,削韧值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D44230>,102
角色-女,4110,S,偏谐值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D44200>,68
角色-女,4110,T,大招回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D441D0>,2.13
角色-女,4110,U,协奏回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D441A0>,6.8
角色-女,4110,V,核心回收1,=0+10000*0.01,100
角色-女,4110,Y,受击韧性系数,0.4219,0.4219
角色-女,4110,Z,中断优先级,2,2
角色-女,4110,AA,位置状态,地面,地面
角色-女,4110,AC,时间膨胀类型,攻击顿帧,攻击顿帧
角色-女,4110,AD,自膨胀系数,0.05,0.05
角色-女,4110,AF,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.1*base!$B$2)+ROUND(0.1*base!$B$2-INT(0.1*base!$B$2),0)+(1-0.1>=1-0.5/base!$B$2),0)",6
角色-女,4110,AG,敌膨胀系数,0.02,0.02
角色-女,4110,AI,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.1*base!$B$2)+ROUND(0.1*base!$B$2-INT(0.1*base!$B$2),0)+(1-0.1>=1-0.5/base!$B$2),0)",6
角色-女,4110,AM,命中类型,目标,目标
角色-女,4110,AN,位置基准,莫宁,莫宁
角色-女,4110,AR,位置基准偏移,"(0,0,100)","(0,0,100)"
角色-女,4110,AS,中心位置偏移,"(2000,0,0)","(2000,0,0)"
角色-女,4110,AT,判定范围,"矩形(2000,150,150)","矩形(2000,150,150)"
角色-女,4111,A,名称,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D46990>,偏谐机制
角色-女,4111,B,ID,5,5
角色-女,4111,C,动作,闪避反击,闪避反击
角色-女,4111,D,备注,"=""第""&ROUND(0*base!$B$2,0)+1&""F获得""&$V4111&""点核心""",第1F获得20点核心
角色-女,4111,E,发生帧,"=INT(0.15755942*base!$B$2)+ROUND(0.15755942*base!$B$2-INT(0.15755942*base!$B$2),0)+(1-0.15755942>=1-0.5/base!$B$2)",9
角色-女,4111,F,持续帧,"=INT(0.2*base!$B$2)+ROUND(0.2*base!$B$2-INT(0.2*base!$B$2),0)+(1-0.2>=1-0.5/base!$B$2)",12
角色-女,4111,H,顿帧-敌,"=MAX(CEILING($AI4111*(1-$AG4111),1)-INT(base!$B$3<>TRUE),0)",11
角色-女,4111,I,无敌启动帧,"=INT(0*base!$B$2)+ROUND(0*base!$B$2-INT(0*base!$B$2),0)+(1-0>=1-0.5/base!$B$2)",1
角色-女,4111,J,无敌持续帧,"=INT(0.33157387*base!$B$2)+ROUND(0.33157387*base!$B$2-INT(0.33157387*base!$B$2),0)+(1-0.33157387>=1-0.5/base!$B$2)",20
角色-女,4111,L,派生帧,"=INT(0.42560503*base!$B$2)+ROUND(0.42560503*base!$B$2-INT(0.42560503*base!$B$2),0)+(1-0.42560503>=1-0.5/base!$B$2)",26
角色-女,4111,M,派生持续帧,"=INT(0.5680698*base!$B$2)+ROUND(0.5680698*base!$B$2-INT(0.5680698*base!$B$2),0)+(1-0.5680698>=1-0.5/base!$B$2)",34
角色-女,4111,N,动作结束帧,"=INT(0.5333333*base!$B$2)+ROUND(0.5333333*base!$B$2-INT(0.5333333*base!$B$2),0)+(1-0.5333333>=1-0.5/base!$B$2)",32
角色-女,4111,O,可弹刀,√,√
角色-女,4111,P,可脱手,√,√
角色-女,4111,R,削韧值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D469C0>,122.4
角色-女,4111,S,偏谐值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D469F0>,81.6
角色-女,4111,T,大招回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D46A20>,2.55
角色-女,4111,U,协奏回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D46AB0>,8.16
角色-女,4111,V,核心回收1,=2000*0.01,20
角色-女,4111,Y,受击韧性系数,0.178,0.178
角色-女,4111,Z,中断优先级,"8,2","8,2"
角色-女,4111,AA,位置状态,地面,地面
角色-女,4111,AC,时间膨胀类型,攻击顿帧,攻击顿帧
角色-女,4111,AG,敌膨胀系数,0.01,0.01
角色-女,4111,AI,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.2*base!$B$2)+ROUND(0.2*base!$B$2-INT(0.2*base!$B$2),0)+(1-0.2>=1-0.5/base!$B$2),0)",12
角色-女,4111,AM,命中类型,目标,目标
角色-女,4111,AN,位置基准,莫宁,莫宁
角色-女,4111,AO,跟随骨骼,根,根
角色-女,4111,AR,位置基准偏移,"(150,0,100)","(150,0,100)"
角色-女,4111,AT,判定范围,"矩形(100,250,100)","矩形(100,250,100)"
角色-女,4112,A,名称,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D84E00>,伤害计算
角色-女,4112,B,ID,6,6
角色-女,4112,C,动作,空中攻击-下落,空中攻击-下落
角色-女,4112,N,动作结束帧,"=INT(0.53333336*base!$B$2)+ROUND(0.53333336*base!$B$2-INT(0.53333336*base!$B$2),0)+(1-0.53333336>=1-0.5/base!$B$2)",32
角色-女,4112,Y,受击韧性系数,0.3164,0.3164
角色-女,4112,Z,中断优先级,5,5
角色-女,4112,AA,位置状态,空中,空中
角色-女,4113,A,名称,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D4B6E0>,输入缓存
角色-女,4113,C,动作,空中攻击-落地,空中攻击-落地
角色-女,4113,D,备注,"=""第""&ROUND(0.16666667*base!$B$2,0)&""F改变中断优先级""",第10F改变中断优先级
角色-女,4113,E,发生帧,"=INT(0.038119692*base!$B$2)+ROUND(0.038119692*base!$B$2-INT(0.038119692*base!$B$2),0)+(1-0.038119692>=1-0.5/base!$B$2)",2
角色-女,4113,F,持续帧,"=INT(0.3*base!$B$2)+ROUND(0.3*base!$B$2-INT(0.3*base!$B$2),0)+(1-0.3>=1-0.5/base!$B$2)",18
角色-女,4113,H,顿帧-敌,"=MAX(CEILING($AI4113*(1-$AG4113),1)-INT(base!$B$3<>TRUE),0)",2
角色-女,4113,L,派生帧,"=INT(0.16652365*base!$B$2)+ROUND(0.16652365*base!$B$2-INT(0.16652365*base!$B$2),0)+(1-0.16652365>=1-0.5/base!$B$2)",10
角色-女,4113,M,派生持续帧,"=INT(0.6666667*base!$B$2)+ROUND(0.6666667*base!$B$2-INT(0.6666667*base!$B$2),0)+(1-0.6666667>=1-0.5/base!$B$2)",40
角色-女,4113,N,动作结束帧,"=INT(1.1668097*base!$B$2)+ROUND(1.1668097*base!$B$2-INT(1.1668097*base!$B$2),0)+(1-1.1668097>=1-0.5/base!$B$2)",70
角色-女,4113,O,可弹刀,√,√
角色-女,4113,P,可脱手,√,√
角色-女,4113,R,削韧值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D4B6B0>,74.4
角色-女,4113,S,偏谐值,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D851C0>,49.6
角色-女,4113,T,大招回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D85190>,1.55
角色-女,4113,U,协奏回收,<openpyxl.worksheet.formula.ArrayFormula object at 0x00000292F0D85160>,4.96
角色-女,4113,Z,中断优先级,"5,2","5,2"
角色-女,4113,AA,位置状态,地面,地面
角色-女,4113,AC,时间膨胀类型,攻击顿帧,攻击顿帧
角色-女,4113,AG,敌膨胀系数,0.01,0.01
角色-女,4113,AI,膨胀持续,"=IF(base!$B$3=FALSE,INT(0.05*base!$B$2)+ROUND(0.05*base!$B$2-INT(0.05*base!$B$2),0)+(1-0.05>=1-0.5/base!$B$2),0)",3
角色-女,4113,AM,命中类型,目标,目标
角色-女,4113,AN,位置基准,莫宁,莫宁
角色-女,4113,AR,位置基准偏移,"(360,0,160)","(360,0,160)"
